file_name,file_urls
Mizzix Storm - Infinites on a Budget,https://deckstats.net/decks/143653/2249642-mizzix-storm-infinites-on-a-bu/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Commander - Ghostqueen,https://deckstats.net/decks/13970/1965090-commander-ghostqueen/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
The Ur-Dragon*,https://deckstats.net/decks/75461/593310-the-ur-dragon-/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Yawgmoth & Friends,https://deckstats.net/decks/108734/1185362-yawgmoth-friends/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Esika, God of the Tree*",https://deckstats.net/decks/75461/2210647-esika-god-of-the-tree-/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Atla Palani, Nest Tender*",https://deckstats.net/decks/75461/1389346-atla-palani-nest-tender-/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Derevi, Empyrial Tactician",https://deckstats.net/decks/20685/120418-derevi-empyrial-tactician/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Xenagos, God of Revels*",https://deckstats.net/decks/75461/593519-xenagos-god-of-revels-/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Delina, Mage of Ith",https://deckstats.net/decks/103705/2373105-delina-mage-of-ith/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Damn I Love Frogs,https://deckstats.net/decks/103705/1931978-damn-i-love-frogs/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Kenrith Enchantments Gods & Curses,https://deckstats.net/decks/98511/1965562-kenrith-enchantments-gods-curs/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Skullbriar, Oh Lawd He Comin'",https://deckstats.net/decks/157500/1680455-skullbriar-oh-lawd-he-comin-/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Mana Burn - Yurlok of Scorch Thrash,https://deckstats.net/decks/211361/2786976-mana-burn-yurlok-of-scorch-thr/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Omnath, Locus of Rage EDH",https://deckstats.net/decks/38880/387446-omnath-locus-of-rage-edh/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Sheoldred, the Apocalypse*",https://deckstats.net/decks/75461/593386-sheoldred-the-apocalypse-/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Go-Shintai's Shrining Friends,https://deckstats.net/decks/146983/2632136-go-shintai-s-shrining-friends/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Morophon Human,https://deckstats.net/decks/221058/2862005-morophon-human/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Urza, Leader of Tin Soldiers",https://deckstats.net/decks/150706/2804299-urza-leader-of-tin-soldiers/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Tergrid of the Discard,https://deckstats.net/decks/150706/2232712-tergrid-of-the-discard/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Copy of: Mushroom Man and his Mighty Myconids,https://deckstats.net/decks/198175/2891190-copy-of-mushroom-man-and-his-m/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Clerics of the Forgotten Archangel,https://deckstats.net/decks/197163/2822210-clerics-of-the-forgotten-archa/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Commander,https://deckstats.net/decks/59659/953122-commander/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
God-Eternal Oketra*,https://deckstats.net/decks/75461/1283632-god-eternal-oketra-/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"No Blues, Just Jazz - Warrior Tribal, Treasure, Goad",https://deckstats.net/decks/105150/2890554-no-blues-just-jazz-warrior-tri/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Meren of Clan Nel Toth*,https://deckstats.net/decks/75461/748224-meren-of-clan-nel-toth-/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Burn, burn - Klothys, God of Destiny",https://deckstats.net/decks/211361/2715620-burn-burn-klothys-god-of-desti/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Kozilek Commander,https://deckstats.net/decks/54966/763813-kozilek-commander/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Symbiotic Swarm def,https://deckstats.net/decks/81021/2890235-symbiotic-swarm-def/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Commander - WB - Life and Death,https://deckstats.net/decks/215627/2805679-commander-wb-life-and-death/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Marchesa, Queen of the Dead",https://deckstats.net/decks/48786/1166763-marchesa-queen-of-the-dead/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Commander Marath,https://deckstats.net/decks/37063/355829-commander-marath/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Commander Ayula ""Bear Force One""",https://deckstats.net/decks/37063/1439028-commander-ayula-bear-force-one/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Wilhelt, the Rotcleaver (Dimir Zombie Tribal)",https://deckstats.net/decks/100287/2241892-wilhelt-the-rotcleaver-dimir-z/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Kumena, Tyrant of Orazca (Simic Merfolk Tribal)",https://deckstats.net/decks/100287/2115974-kumena-tyrant-of-orazca-simic-/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Tuvasa the Sunlit (Bant Enchantments),https://deckstats.net/decks/100287/1165371-tuvasa-the-sunlit-bant-enchant/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Kaalia of the Vast,https://deckstats.net/decks/100287/1165326-kaalia-of-the-vast/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Meren of Clan Nel Toth (Sac Outlet),https://deckstats.net/decks/100287/1165195-meren-of-clan-nel-toth-sac-out/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Oloro LifeGrain,https://deckstats.net/decks/100287/1164743-oloro-lifegrain/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Budget Deck: The Scarab God EDH,https://deckstats.net/decks/69512/780597-budget-deck-the-scarab-god-edh/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Niv-Mizzet, Parun",https://deckstats.net/decks/99073/1467316-niv-mizzet-parun/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Yuriko Leviatán,https://deckstats.net/decks/85077/2809078-yuriko-leviat-n/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Anje's Insanity,https://deckstats.net/decks/133964/1426938-anje-s-insanity/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Ikra & Prava's Soul Beating,https://deckstats.net/decks/133964/2888072-ikra-prava-s-soul-beating/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Godzilla (Zilortha) EDH Stompy Deck,https://deckstats.net/decks/107479/1604789-godzilla-zilortha-edh-stompy-d/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Anhelo's Studio,https://deckstats.net/decks/133964/2582197-anhelo-s-studio/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Ikra & Keleth's Soul Healing,https://deckstats.net/decks/133964/2137253-ikra-keleth-s-soul-healing/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Alesha's Aristocracy,https://deckstats.net/decks/133964/1865184-alesha-s-aristocracy/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Kalamax's Crackle,https://deckstats.net/decks/133964/2104117-kalamax-s-crackle/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Krenko1Trick,https://deckstats.net/decks/154217/1620343-krenko1trick/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Brallin & Shabraz's Bond,https://deckstats.net/decks/133964/2594242-brallin-shabraz-s-bond/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Ghired's Crash,https://deckstats.net/decks/133964/1793294-ghired-s-crash/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Nihiloor's Mindflaying,https://deckstats.net/decks/133964/2389912-nihiloor-s-mindflaying/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Thantis's Aggression,https://deckstats.net/decks/133964/1689333-thantis-s-aggression/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
atraxa infectproliferate,https://deckstats.net/decks/123396/1524968-atraxa-infect-proliferate/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Meletis Amigos para Siempre,https://deckstats.net/decks/193586/2367939-meletis-amigos-para-siempre/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Krrik amigas,https://deckstats.net/decks/223641/2887350-krrik-amigas/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Mishra's Burnished Banner - The Brothers' War Commander 2022-11-18,https://deckstats.net/decks/170644/2813421-mishra-s-burnished-banner-the-/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Kraken Boi,https://deckstats.net/decks/42204/1898713-kraken-boi/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Warhammer 40K - Necron-Dynastien (s),https://deckstats.net/decks/196855/2885905-warhammer-40k-necron-dynastien/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"🌞💀🌳 Ghave, Guru of Spores 🍄🍄🍄",https://deckstats.net/decks/32246/282303--ghave-guru-of-spores-/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
